,date,stock,adj_close,adj_close_diff%,adj_close_norm
1,2017-12-19,Bitcoin/USD,17776.69921875,-6.99741582000456,0.9157609658359543
2,2017-12-20,Bitcoin/USD,16624.599609375,-6.480953495347553,0.8431989035148146
3,2017-12-21,Bitcoin/USD,15802.900390625,-4.942670729264509,0.7914462690767953
4,2017-12-22,Bitcoin/USD,13831.7998046875,-12.473030502089644,0.6673015142360031
5,2017-12-23,Bitcoin/USD,14699.2001953125,6.271059463505568,0.7219325206956412
6,2017-12-24,Bitcoin/USD,13925.7998046875,-5.261513418067699,0.67322186504828
7,2017-12-25,Bitcoin/USD,14026.599609375,0.7238349401918809,0.6795704842563544
8,2017-12-26,Bitcoin/USD,16099.7998046875,14.780490304484273,0.8101457231960447
9,2017-12-27,Bitcoin/USD,15838.5,-1.6230003345223065,0.7936884198882849
10,2017-12-28,Bitcoin/USD,14606.5,-7.778514379518264,0.7160940347741882
11,2017-12-29,Bitcoin/USD,14656.2001953125,0.34026081068359026,0.7192242751113018
12,2017-12-30,Bitcoin/USD,12952.2001953125,-11.626478741365665,0.6119021710249214
13,2017-12-31,Bitcoin/USD,14156.400390625,9.297263608914186,0.6877456561787757
14,2018-01-01,Bitcoin/USD,13657.2001953125,-3.526321533283927,0.6563048021169978
15,2018-01-02,Bitcoin/USD,14982.099609375,9.70110560814097,0.7397502204385941
16,2018-01-03,Bitcoin/USD,15201.0,1.4610795304552893,0.7535371045390669
17,2018-01-04,Bitcoin/USD,15599.2001953125,2.6195657872015055,0.7786167306004196
18,2018-01-05,Bitcoin/USD,17429.5,11.733292616101544,0.8938935065088431
19,2018-01-06,Bitcoin/USD,17527.0,0.5593964256002781,0.9000342959151941
20,2018-01-07,Bitcoin/USD,16477.599609375,-5.987336056512804,0.8339404825637009
21,2018-01-08,Bitcoin/USD,15170.099609375,-7.935014996092593,0.7515909220631478
22,2018-01-09,Bitcoin/USD,14595.400390625,-3.788368129071751,0.7153949541212176
23,2018-01-10,Bitcoin/USD,14973.2998046875,2.5891678470515656,0.739195987131897
24,2018-01-11,Bitcoin/USD,13405.7998046875,-10.468634305373904,0.6404709882144081
25,2018-01-12,Bitcoin/USD,13980.599609375,4.287694975770973,0.6766732913056657
26,2018-01-13,Bitcoin/USD,14360.2001953125,2.715195317395036,0.7005814682981747
27,2018-01-14,Bitcoin/USD,13772.0,-4.096044534981502,0.6635351757013687
