,countryCode3,gdp_year,gdp,countryCode
175,PAK,2018,1482.40306306798,PK
176,COM,2018,1415.2636223156198,KM
177,MMR,2018,1325.9529237064,MM
178,LSO,2018,1299.15312598733,LS
179,KGZ,2018,1281.36366078545,KG
180,MRT,2018,1188.8345875397301,MR
181,SSD,2015,1119.65133182314,SS
182,TZA,2018,1060.99461489421,TZ
183,NPL,2018,1033.91243082634,NP
184,SDN,2018,977.273635724417,SD
185,YEM,2018,944.4084993734191,YE
186,BEN,2018,901.5438712063569,BJ
187,MLI,2018,899.659908096615,ML
188,GIN,2018,878.599613250501,GN
189,HTI,2018,868.34202469407,HT
190,TJK,2018,826.6215305387041,TJ
191,ERI,2011,811.376028602108,ER
192,GNB,2018,777.969921802522,GW
193,RWA,2018,772.944459929187,RW
194,ETH,2018,772.313530261357,ET
195,TCD,2018,728.343235359289,TD
196,GMB,2018,716.118488979126,GM
197,BFA,2018,715.12290404614,BF
198,TGO,2018,679.257083602874,TG
199,LBR,2018,677.322178545364,LR
200,UGA,2018,642.776744292007,UG
201,COD,2018,561.7771823904251,CD
202,SLE,2018,533.991184258936,SL
203,MDG,2018,527.501285041282,MG
204,AFG,2018,520.896602719135,AF
205,MOZ,2018,498.95722020865196,MZ
206,CAF,2018,475.721250544318,CF
207,NER,2018,413.980304962089,NE
208,MWI,2018,389.398033178836,MW
209,SOM,2018,314.544165670763,SO
210,BDI,2018,271.752044376648,BI
